scope,quantity,value,unit,basis,note,status
transit_kernel_amplitude_lorentzian,factor,1.0,dimensionless,the multiplier on v_mean/(pi Lambda),"A DEFINITION AND NOT A MEASUREMENT, so it carries no error bar of its own. The uncertainty on the transit kernel is the SPAN ACROSS THESE FOUR ROWS, which is a model-form choice this record does not settle, and quoting one factor with a bar would hide that. The ensemble factors are normalised to the mean speed, so pairing one with another velocity convention double counts, and transit_fwhm refuses that combination",ARTIFACT
transit_kernel_single_velocity,fwhm,97.7,kHz,"factor 0.6436 times v_mean/(pi Lambda), transition axis","amplitude_lorentzian is the retired form and reads the transform of the coupling as the lineshape. A lineshape is the squared magnitude of that transform, which narrows it by sqrt(sqrt(2)-1), and the Maxwell average narrows it further because slow atoms interact longer",CALIB
transit_kernel_single_velocity,fwhm_err,18.3,kHz,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
transit_kernel_single_velocity,factor,0.6436,dimensionless,the multiplier on v_mean/(pi Lambda),"A DEFINITION AND NOT A MEASUREMENT, so it carries no error bar of its own. The uncertainty on the transit kernel is the SPAN ACROSS THESE FOUR ROWS, which is a model-form choice this record does not settle, and quoting one factor with a bar would hide that. The ensemble factors are normalised to the mean speed, so pairing one with another velocity convention double counts, and transit_fwhm refuses that combination",DIAGNOSTIC
transit_kernel_ensemble_flux,fwhm,66.6,kHz,"factor 0.4387 times v_mean/(pi Lambda), transition axis","amplitude_lorentzian is the retired form and reads the transform of the coupling as the lineshape. A lineshape is the squared magnitude of that transform, which narrows it by sqrt(sqrt(2)-1), and the Maxwell average narrows it further because slow atoms interact longer",CALIB
transit_kernel_ensemble_flux,fwhm_err,12.5,kHz,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
transit_kernel_ensemble_flux,factor,0.4387,dimensionless,the multiplier on v_mean/(pi Lambda),"A DEFINITION AND NOT A MEASUREMENT, so it carries no error bar of its own. The uncertainty on the transit kernel is the SPAN ACROSS THESE FOUR ROWS, which is a model-form choice this record does not settle, and quoting one factor with a bar would hide that. The ensemble factors are normalised to the mean speed, so pairing one with another velocity convention double counts, and transit_fwhm refuses that combination",DIAGNOSTIC
transit_kernel_ensemble_speed,fwhm,36.8,kHz,"factor 0.2422 times v_mean/(pi Lambda), transition axis","amplitude_lorentzian is the retired form and reads the transform of the coupling as the lineshape. A lineshape is the squared magnitude of that transform, which narrows it by sqrt(sqrt(2)-1), and the Maxwell average narrows it further because slow atoms interact longer",CALIB
transit_kernel_ensemble_speed,fwhm_err,6.9,kHz,half-span over a diameter tolerance of +-20 nm,"propagated from the geometry, which is the only thing uncertain here. The solve itself is exact at a stated diameter",CALIB
transit_kernel_ensemble_speed,factor,0.2422,dimensionless,the multiplier on v_mean/(pi Lambda),"A DEFINITION AND NOT A MEASUREMENT, so it carries no error bar of its own. The uncertainty on the transit kernel is the SPAN ACROSS THESE FOUR ROWS, which is a model-form choice this record does not settle, and quoting one factor with a bar would hide that. The ensemble factors are normalised to the mean speed, so pairing one with another velocity convention double counts, and transit_fwhm refuses that combination",DIAGNOSTIC
