rung,quantity,value,unit,basis,note,status
7S,waist_resonator_mode_err,4.158,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
7S,rayleigh_range,9.758,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
7S,rayleigh_range_err,1.67,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
7S,collection_z_ratio,0.3459,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
7S,collection_z_ratio_err,0.0592,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
7S,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
7S,kernel_width_spread_across_the_ramp,1.058,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
7S,kernel_width_spread_across_the_ramp_err,0.01935,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
7S,transit_fwhm,1.2611,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
7S,transit_fwhm_err,0.1079,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
7S,doppler_pedestal_fwhm,1231.03,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
7S,doppler_pedestal_fwhm_err,0.0008098,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
7S,static_scalar_polarizability_upper,32630,a.u.,"Safronova and Safronova 2011 Table VI, the held PDF","STATIC. Equation 8 of that paper carries no frequency, so this is NOT the differential the light shift reads at this rung's drive: at 688.6 nm the 8S to 5P denominator is -16467 cm-1 against a photon of 14523. It ranks the rungs and it closes the dynamic sum at zero frequency",CALIB
7S,static_scalar_polarizability_upper_err,140,a.u.,the paper's own parenthesised uncertainty,"0.2 to 5 per cent depending on the state, the nd rows being the loosest",DIAGNOSTIC
7S,intermediate_detuning_5p12,-576.8,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
7S,intermediate_detuning_5p12_err,0.008654,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
7S,intermediate_detuning_5p32,-339.2,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
7S,intermediate_detuning_5p32_err,0.008654,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
7S,five_p_enhancement_relative_to_6s,6.272,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
7S,alpha_5s_at_the_drive,-4902.89,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
7S,alpha_5s_at_the_drive_err,6.442,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
7S,differential_polarizability,4371.66,a.u.,"alpha(upper) minus alpha(5S), this package's own sum over states",the 993 nm sign is under dispute and the magnitude is what every bound reads,CALIB
7S,differential_polarizability_err,6.442,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"ONLY the 5S side is drawn: mc_band samples the 5S and 6S ladders and this package states no sigmas for the 7S elements, so this is a LOWER BOUND on the true error and not the error",DIAGNOSTIC
7S,on_axis_shift_per_watt,10.72,MHz per W,at this rung's OWN achievable waist and the retro ratio of record,"the waist is not common across rungs (A136), so this is not the polarizability ratio",CALIB
7S,on_axis_shift_per_watt_err,1.848,MHz per W,"the polarizability, two powers of the waist and the retro ratio, in quadrature","the waist term dominates on every rung away from 993 nm, which is the finding this producer exists for",DIAGNOSTIC
7S,two_photon_element_relative_to_6s,1.4066,dimensionless,"both halves summed over the nP this package holds, on 6S","the element the ceiling divides by. The 5S-half row above ranks the intermediate resonance alone and reads higher on every rung whose upper element is the smaller half, the upper element being what that row holds common. This note carried the 7S numbers as literals until 2026-09-10 and was emitted on every rung, so the 6S row said 6.27 against 1.41 where both of its own cells read one",DIAGNOSTIC
7S,two_photon_element_relative_to_6s_err,0.0237,dimensionless,"drawn from the held reduced-element sigmas on both halves, twenty thousand draws, seeded","1.69 per cent on the 7S rung. The elements are summed UNSIGNED here and the nP terms above 5P carry the opposite sign to the 5P ones, about four per cent of each element, which is a systematic this row does NOT carry",DIAGNOSTIC
7S,natural_width_relative_to_6s,0.5174,dimensionless,"the rung's own natural width over the 6S rung's, from the held lifetimes","enters all three ceiling rows below. Held common at one until 2026-09-10, which is what made the third of them an identity",CALIB
7S,natural_width_relative_to_6s_err,0.003041,dimensionless,"the two held lifetimes' own sigmas in quadrature, 45.57(17) and 88.07(40) ns","0.59 per cent on the 7S rung. The ELEMENT ratio beside it carries 1.69 per cent from the held reduced-element sigmas, drawn rather than linearised, and the two together set the ceiling rows' own errors",DIAGNOSTIC
7S,saturation_shift_ceiling_relative,1.4049,dimensionless,"Delta-alpha times the natural width over the matrix element, against the 6S rung","the shift at which the two-photon Rabi frequency reaches a fixed fraction of the natural width. BELOW ONE MEANS THIS RUNG SATURATES EARLIER, which is the opposite of what a larger coefficient suggests on its own",DIAGNOSTIC
7S,saturation_shift_ceiling_relative_err,0.02507,dimensionless,"the width and element sigmas in quadrature, relative",the differential polarizability's own uncertainty is NOT in this row: carrying it is owed,DIAGNOSTIC
7S,rate_at_a_fixed_shift_relative,0.2621,dimensionless,"the square of the matrix element over the coefficient, divided by the natural width, against 6S","the shot-noise gain this rung offers at the SAME on-axis shift, which is where the ladder pays. The row below evaluates the same rate at each rung's own ceiling instead",DIAGNOSTIC
7S,rate_at_a_fixed_shift_relative_err,0.008969,dimensionless,"the width sigma and twice the element sigma, in quadrature","twice, because the rate carries the element squared. The differential polarizability's own uncertainty is owed here too",DIAGNOSTIC
7S,rate_at_its_own_ceiling_relative,0.5174,dimensionless,"the same rate evaluated at each rung's own saturation ceiling, which reduces to the natural width ratio","THIS ROW HAS BEEN READ THREE WAYS IN TWO DAYS and this is the first reading with the width in it. At the ceiling Omega = f Gamma, so the rate is f^2 Gamma and the ratio is the width ratio alone: every other factor cancels. It was published as one, first as the result and then as an algebraic identity, and both readings were artefacts of holding the width common. The ladder does NOT deliver the same signal at each rung's own saturation ceiling: a longer-lived upper state delivers less",DIAGNOSTIC
7S,rate_at_its_own_ceiling_relative_err,0.003041,dimensionless,"the width ratio's own sigma, since the row reduces to it","every other factor cancels exactly, so this row's error is the two lifetimes' and nothing else",DIAGNOSTIC
7S,nearest_np_gap,6.56,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
7S,nearest_np_gap_err,7.456e-05,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
7S,thermal_occupation_at_that_gap,4.370e-03,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 5.44",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
7S,thermal_occupation_at_that_gap_err,2.711e-07,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
7S,detection_arm,"420 nm, 6P to 5S",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
6D,term_energy,28675.900,cm-1,Rydberg-Ritz from the held anchors of this series,above the 5S1/2 ground state,PRELIM
6D,drive_wavelength,697.450,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,PRELIM
6D,term_energy_err,14.39,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
6D,drive_wavelength_err,0.35,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
6D,waist_aperture_limited,44.455,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
6D,waist_aperture_limited_err,4.778,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
6D,waist_resonator_mode,53.055,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
6D,waist_resonator_mode_err,4.778,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
6D,rayleigh_range,8.902,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
6D,rayleigh_range_err,1.914,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
6D,collection_z_ratio,0.3791,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
6D,collection_z_ratio_err,0.08151,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
6D,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
6D,kernel_width_spread_across_the_ramp,1.069,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
6D,kernel_width_spread_across_the_ramp_err,0.02889,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
6D,transit_fwhm,1.3784,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
6D,transit_fwhm_err,0.1482,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
6D,doppler_pedestal_fwhm,1341.66,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
6D,doppler_pedestal_fwhm_err,0.6733,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
6D,static_scalar_polarizability_upper,91580,a.u.,"Safronova and Safronova 2011 Table VI, the held PDF","STATIC. Equation 8 of that paper carries no frequency, so this is NOT the differential the light shift reads at this rung's drive: at 688.6 nm the 8S to 5P denominator is -16467 cm-1 against a photon of 14523. It ranks the rungs and it closes the dynamic sum at zero frequency",CALIB
6D,static_scalar_polarizability_upper_err,620,a.u.,the paper's own parenthesised uncertainty,"0.2 to 5 per cent depending on the state, the nd rows being the loosest",DIAGNOSTIC
6D,intermediate_detuning_5p12,-1759.0,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
6D,intermediate_detuning_5p12_err,7.195,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
6D,intermediate_detuning_5p32,-1521.4,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
6D,intermediate_detuning_5p32_err,7.195,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
6D,five_p_enhancement_relative_to_6s,1.564,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
6D,alpha_5s_at_the_drive,-1148.09,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
6D,alpha_5s_at_the_drive_err,1.408,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
6D,differential_polarizability,,a.u.,no sum over states for this upper level in this repository,"empty and NULL rather than estimated: the shift coefficient is the one quantity a campaign would act on. THE ROUTE IS NOW NAMED, which it was not before 2026-09-10: Safronova and Safronova 2011 Table II carries the reduced E1 elements for these channels, so a frequency-dependent sum on NIST energies closes it, validated at zero frequency against the static row above",NULL
6D,on_axis_shift_per_watt,,MHz per W,needs the differential polarizability above,,NULL
6D,saturation_shift_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
6D,rate_at_a_fixed_shift_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
6D,rate_at_its_own_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
6D,nearest_np_gap,12.41,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
6D,nearest_np_gap_err,0.2216,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
6D,thermal_occupation_at_that_gap,5.974e-02,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 2.88",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
6D,thermal_occupation_at_that_gap_err,3.252e-03,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
6D,detection_arm,"420 nm, 6P to 5S",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
8S,term_energy,29046.028,cm-1,Rydberg-Ritz from the held anchors of this series,above the 5S1/2 ground state,PRELIM
8S,drive_wavelength,688.562,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,PRELIM
8S,term_energy_err,1.915,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
8S,drive_wavelength_err,0.0454,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
8S,waist_aperture_limited,43.868,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
8S,waist_aperture_limited_err,4.867,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
8S,waist_resonator_mode,52.692,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
8S,waist_resonator_mode_err,4.867,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
8S,rayleigh_range,8.780,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
8S,rayleigh_range_err,1.948,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
8S,collection_z_ratio,0.3844,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
8S,collection_z_ratio_err,0.0853,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
8S,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
8S,kernel_width_spread_across_the_ramp,1.071,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
8S,kernel_width_spread_across_the_ramp_err,0.0306,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
8S,transit_fwhm,1.3969,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
8S,transit_fwhm_err,0.155,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
8S,doppler_pedestal_fwhm,1358.97,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
8S,doppler_pedestal_fwhm_err,0.08961,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
8S,static_scalar_polarizability_upper,133200,a.u.,"Safronova and Safronova 2011 Table VI, the held PDF","STATIC. Equation 8 of that paper carries no frequency, so this is NOT the differential the light shift reads at this rung's drive: at 688.6 nm the 8S to 5P denominator is -16467 cm-1 against a photon of 14523. It ranks the rungs and it closes the dynamic sum at zero frequency",CALIB
8S,static_scalar_polarizability_upper_err,650,a.u.,the paper's own parenthesised uncertainty,"0.2 to 5 per cent depending on the state, the nd rows being the loosest",DIAGNOSTIC
8S,intermediate_detuning_5p12,-1944.1,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
8S,intermediate_detuning_5p12_err,0.9576,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
8S,intermediate_detuning_5p32,-1706.5,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
8S,intermediate_detuning_5p32_err,0.9576,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
8S,five_p_enhancement_relative_to_6s,1.398,dimensionless,"the 5S half of the two-photon matrix element, normalised on the 6S rung","RELATIVE ONLY, and the upper-state element is held COMMON here BY CHOICE so the row ranks the intermediate resonance alone. It is not a transition rate and it is not the ceiling's element: two_photon_element_relative_to_6s carries both halves where this package holds them",DIAGNOSTIC
8S,alpha_5s_at_the_drive,-1019.94,a.u.,rb5s6s.polarizability.alpha_5s at this rung's drive wavelength,the half of the differential polarizability this package holds for every rung,CALIB
8S,alpha_5s_at_the_drive_err,1.255,a.u.,half the 16 to 84 band of rb5s6s.polarizability.mc_band at 400 draws,"the matrix elements, cores and tails drawn from their own quoted sigmas. Near a pole the band is asymmetric and the half-span understates the far side",DIAGNOSTIC
8S,differential_polarizability,,a.u.,no sum over states for this upper level in this repository,"empty and NULL rather than estimated: the shift coefficient is the one quantity a campaign would act on. THE ROUTE IS NOW NAMED, which it was not before 2026-09-10: Safronova and Safronova 2011 Table II carries the reduced E1 elements for these channels, so a frequency-dependent sum on NIST energies closes it, validated at zero frequency against the static row above",NULL
8S,on_axis_shift_per_watt,,MHz per W,needs the differential polarizability above,,NULL
8S,saturation_shift_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
8S,rate_at_a_fixed_shift_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
8S,rate_at_its_own_ceiling_relative,,dimensionless,"needs the differential polarizability, which is empty above",empty rather than estimated: a rung ranked on part of its own element is what produced the readings A148 retired,DIAGNOSTIC
8S,nearest_np_gap,12.68,um,"the nearest nP level of the held ladder, as a wavelength",what couples the upper state to the cell's own thermal field,CALIB
8S,nearest_np_gap_err,0.03077,um,"the term energy's error over the gap, the nP level being exact here","it is large where the gap is small, which is the high rungs",DIAGNOSTIC
8S,thermal_occupation_at_that_gap,6.369e-02,dimensionless,"1/(exp(hv/kT) - 1) at 130 C, hv/kT = 2.82",above about a per cent the thermal field moves population out of the upper state at a fair fraction of its own decay rate,CALIB
8S,thermal_occupation_at_that_gap_err,4.630e-04,dimensionless,"the occupation's own derivative in the gap, times the gap's error",the cell temperature dominates this in practice and is not in this row: ten kelvin moves the occupation by about a fifth at the high rungs,DIAGNOSTIC
8S,detection_arm,"420 nm, 6P to 5S",,the cascade this rung emits on,the 993 nm rung is the only one the bench's installed 795 nm filter already serves. A cascade identification is not a measured value,DIAGNOSTIC
7D,term_energy,30267.645,cm-1,Rydberg-Ritz from the held anchors of this series,above the 5S1/2 ground state,PRELIM
7D,drive_wavelength,660.772,nm,"two-photon, 2e7 divided by the term energy in cm-1",inside the 650 to 1050 nm band this producer covers,PRELIM
7D,term_energy_err,16.03,cm-1,"the two-fit spread on an extrapolated rung, a bound on the NIST precision on a held one","the held rows carry 0.01 cm-1, which is conservative for levels this low and is NOT a value this repository holds",DIAGNOSTIC
7D,drive_wavelength_err,0.35,nm,"the two-fit spread and the Ritz form's own measured extrapolation error, in quadrature","on an S rung the form error comes from fitting two adjacent nP states and predicting the next two, the same lever arm. The D series cannot be tested that way here, having two anchors, so an extrapolated D rung carries the independent miss instead: E(5P3/2) plus the 5P3/2 to nD line puts 6D 0.35 nm from this ladder. Those two line wavelengths are NOT held here and the rung is owed a NIST lookup. The 4D row carries its doublet, this record not having checked the 4D J labels",DIAGNOSTIC
7D,waist_aperture_limited,42.034,um,rb5s6s.constants.waist_at_drive through the f = 150 mm singlet,"the input beam held common to every drive, which is what a hard stop at the EOM gives",CALIB
7D,waist_aperture_limited_err,5.145,um,"the input-beam regime's half-span and the reference waist's own measured band, in quadrature","the regime term is zero at the reference wavelength and dominates everywhere else, which is the point: the record does not pin the input beam (A136) and the measurement it does hold was taken at one wavelength",DIAGNOSTIC
7D,waist_resonator_mode,51.539,um,the same with the input radius going as the root of the wavelength,"the unclipped alternative. The pair brackets the regime the record does not pin (A136), and the transit ratio between rungs measures which one the bench is in",CALIB
7D,waist_resonator_mode_err,5.145,um,"the same combination, the two regimes being the ends of one band",the pair share the interval and its half-width,DIAGNOSTIC
7D,rayleigh_range,8.400,mm,"pi w0^2 over the drive wavelength, at the aperture-limited waist",it falls with the drive because the waist does,CALIB
7D,rayleigh_range_err,2.056,mm,"two powers of the waist and one of the wavelength, in quadrature",the waist term dominates by three orders,DIAGNOSTIC
7D,collection_z_ratio,0.4018,dimensionless,the bench's own collection half-length over this rung's Rayleigh range,"THE COLLECTION OPTICS ARE NOT RETUNED BY CHANGING THE DRIVE, so the half-length is the 993 nm one and only the Rayleigh range moves. The windowed third cumulant passes through zero near 1.117 and reverses beyond it",CALIB
7D,collection_z_ratio_err,0.09835,dimensionless,the inverse Rayleigh range's own relative error,"the collection half-length is held fixed by the optics, so it contributes nothing here and its own error is chapter 12's item",DIAGNOSTIC
7D,k3_sign_reversed_by_the_window,no,boolean,z_ratio against the null of the axial window,"a rung past the null reports the third cumulant with the wrong sign unless the collection window is shortened. A boolean carries no uncertainty of its own and the ratio it reads is the row above, whose error is emitted there",DIAGNOSTIC
7D,kernel_width_spread_across_the_ramp,1.078,dimensionless,"sqrt(1 + z_ratio^2), the transit width's span over the collected volume","derived in A138: at shift u the contributing slices reach sqrt(min(1+z_ratio^2, s0/u)). It is the input to the covariance that sets the third cumulant's contamination",CALIB
7D,kernel_width_spread_across_the_ramp_err,0.03666,dimensionless,the collection ratio's error carried through sqrt(1 + r^2),"it vanishes as the ratio does, which is why the wide-waist rungs carry almost none of it",DIAGNOSTIC
7D,transit_fwhm,1.4578,MHz,"ln2 v_th / (pi w0) at 130 C, aperture-limited waist","the width that carries the geometry to the FIRST power, which is how a two-drive campaign measures the input-beam regime",CALIB
7D,transit_fwhm_err,0.1784,MHz,one inverse power of the waist,the cell temperature is held at its set point here and its own spread is a separate axis,DIAGNOSTIC
7D,doppler_pedestal_fwhm,1416.13,MHz,"the co-propagating component's Doppler width at 130 C, 85Rb","linear in the term energy, so the shorter drives carry the wider pedestal and the narrow line sits on a flatter background",CALIB
7D,doppler_pedestal_fwhm_err,0.7501,MHz,"linear in the term energy, so the energy's error carries straight",the temperature's own error is not in this row and would dominate it: a one kelvin drift moves the width by about a tenth of a per cent,DIAGNOSTIC
7D,static_scalar_polarizability_upper,,a.u.,absent from Safronova and Safronova 2011 Table VI,7D is the one rung inside this band that table does not carry,DIAGNOSTIC
7D,intermediate_detuning_5p12,-2554.9,cm-1,the 5P1/2 term energy minus half this rung's own,negative where the virtual level sits ABOVE the real state,CALIB
7D,intermediate_detuning_5p12_err,8.016,cm-1,"half the term energy's error, the 5P level being held exactly",the nP ladder is this package's own and carries no stated error on its positions,DIAGNOSTIC
7D,intermediate_detuning_5p32,-2317.3,cm-1,the same against 5P3/2,the nearer of the two on every rung above 5D,CALIB
7D,intermediate_detuning_5p32_err,8.016,cm-1,"half the term energy's error, as the row above",the same nP ladder and the same silence about its own error,DIAGNOSTIC
